precision,recall,f1,roc_auc,pr_auc,false_negative_rate,fold,model
1.0,1.0,1.0,1.0,1.0,0.0,0,random_forest
1.0,1.0,1.0,1.0,1.0,0.0,1,random_forest
1.0,1.0,1.0,1.0,1.0,0.0,2,random_forest
1.0,1.0,1.0,1.0,1.0,0.0,3,random_forest
1.0,1.0,1.0,1.0,0.9999999999999999,0.0,4,random_forest
1.0,1.0,1.0,1.0,1.0,0.0,0,xgboost
1.0,1.0,1.0,1.0,1.0,0.0,1,xgboost
1.0,1.0,1.0,1.0,1.0,0.0,2,xgboost
1.0,1.0,1.0,1.0,1.0,0.0,3,xgboost
1.0,0.9166666666666666,0.9565217391304348,0.9583333333333333,0.939922480620155,0.08333333333333333,4,xgboost
